first_name,last_name,pelicula
Aprilette,Cowderoy,Love Loves Coincidences
Michele,Eubank,"Gunfighter, The"
Eddy,Thulborn,Yu-Gi-Oh!: Bonds Beyond Time (Gekijouban Yuugiou: Chouyuugou! Jikuu o koeta kizuna)
Regina,Alabastar,Mourning Becomes Electra
Nicol,Nunson,Tampopo
Alejandro,Volkes,Blame it on Fidel! (La faute à Fidel!)
Rafael,St. Queintain,"Garçu, Le"
Jaquenetta,McNee,Jane Eyre
Frank,Longridge,"Straight Story, The"
Demetris,Allsup,Bless the Beasts & Children
Dede,Menego,Navy Blues
Shirlee,Beames,Courage Mountain
Vladimir,Gaynes,"Bounty, The"
Katrina,Beisley,How the West Was Fun
Gard,Vurley,Exotica
Berk,Shuttleworth,Boiling Point (3-4 x jûgatsu)
Elisa,Dolohunty,It Follows
Katleen,Carswell,Never Make It Home
Ferrel,Tomkowicz,Liliom
Brynna,Keddey,Blame It on the Bellboy
Kira,O'Nolan,The Count of Monte Cristo
Shellysheldon,Gianulli,"I, the Jury"
Robby,Caccavari,Garage Olimpo
Grace,Atyea,Exorcist: The Beginning
Dewie,Hazelton,"Mole People, The"
Hildegaard,Uppett,"Flowers of St. Francis (Francesco, giullare di Dio)"
Micah,Gibbons,Hook
Sam,Mushet,Locke
Elbertina,Salman,Extraordinary Measures
Conrado,Treven,Across the Sea of Time
Isa,Climson,Siddhartha
Reeba,Hazelhurst,Snow White (Blancanieves)
Arabele,Haig,To Live (Huozhe)
Sloane,O'Sheeryne,"Eye of Vichy, The (Oeil de Vichy, L')"
Loraine,Leathley,"Eye, The"
Annabela,Bottrill,Windows
Brear,Foro,Oliver & Company
Doy,Cumbridge,Detroit 9000
Hayes,Beech,Rampage at Apache Wells
Jere,Pusey,"Traveler, The (Mossafer)"
Cort,Lickorish,"Battle of Shaker Heights, The"
Patrice,Candy,True Confessions
Venita,Hartup,Neighbors
Candida,Dyne,Dreamer: Inspired by a True Story
Armstrong,Sloam,Portrait of Jennie
Stacee,D'Agostini,"Girl Can't Help It, The"
Caye,Mussettini,Osmosis Jones
Rora,Dundridge,"Personals, The (Zheng hun qi shi)"
Crysta,Timbs,Israeli Intelligence (Hamosad Hasagur)
Nicol,Mont,Tyson
Cynthie,Dash,Remonstrance
Cly,Aymerich,Brown's Requiem
Raynell,Minchinton,My Name is Khan
Giulia,Lebang,"Notorious Bettie Page, The"
Dayle,Bole,"Kid, The"
Jorry,Sinncock,Mean Machine
Tedman,Skipsea,Purple Butterfly (Zi hudie)
Bennett,Hamner,Island at War
Leta,Shergold,Flavor of Green Tea Over Rice (Ochazuke no aji)
Stesha,Borman,Glorious 39
Lidia,Temple,23 Paces to Baker Street
Hesther,Heelis,Clear History
Nanci,Claybourn,3 Women (Three Women)
Charyl,Burberow,Circus of Horrors
Alvis,Windham,Face to Face (Ansikte mot ansikte)
Jacquenette,Antonchik,Zarafa
Cathrine,Braffington,Fierce People
Laird,Rahill,"Beast with Five Fingers, The"
Sibley,Lathleiffure,Hellsinki (Rööperi)
Sidoney,Shervil,Let It Ride
Kirsti,Pensom,"Lost Skeleton Returns Again, The"
Kay,Cowhig,Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku)
Cindee,Gayther,Omega Doom
Kizzee,Simoncelli,Heartbeats (Kohtaamisia)
Natasha,Balm,High School Hellcats
Jobye,Challice,"Love Affair, or the Case of the Missing Switchboard Operator (Ljubavni slucaj ili tragedija sluzbenice P.T.T.)"
Caesar,Walley,Enemies: A Love Story
Milissent,Nafziger,Flicka
Camella,Jochen,Rough Night in Jericho
Adams,Linstead,Falling in Love
Hartwell,Findlay,"Strange Love of Martha Ivers, The"
Marissa,Spyby,"Titfield Thunderbolt, The"
Iorgo,Tort,From Beijing with Love
Dody,Lusgdin,"Best Exotic Marigold Hotel, The"
Mandy,Moroney,Never Say... Never! (Il ne faut jurer... de rien!)
Lyle,Arnolds,Dangerous Liaisons
Aldo,Conklin,Supporting Characters
Letty,Hellyar,The Girl in a Swing
Flint,Stainbridge,Stockholm Stories
Jamison,Collard,Piranhaconda
Eberhard,Fricke,Wild Seven
Marijo,Gothup,"Blind Menace, The (Shiranui kengyô)"
Eduardo,Schlagman,Deceived
Franni,Tabbernor,Love and Other Catastrophes
Lorena,Karmel,I Bought a Vampire Motorcycle
Kipp,Knibbs,Playing
Gill,Utteridge,House Arrest
Whitman,Jahnke,Maskerade
Starlene,Upcraft,Pericles on 31st Street
Milka,Balhatchet,Talk to Me
Maiga,Emes,Oliver Twist
Burk,Foulsham,Field of Dreams
Shalna,Cardenas,Bullhead (Rundskop)
Finn,Evison,"Devil's Advocate, The"
Rollin,Restorick,"Rutles: All You Need Is Cash, The"
Jobyna,Alders,The Inspector
Odele,Dreinan,Shameless (Maskeblomstfamilien )
Elisabeth,Dwire,Metal Brothers (Mammas pojkar)
Ilaire,Scourge,Canciones de amor en Lolita's Club
Kyle,Fielding,"Black Power Mixtape 1967-1975, The"
Theresita,Episcopio,Sweepers
Tessy,Agastina,Possession
Karla,Given,Krull
Alfredo,Flea,Where the Money Is
Sheppard,Gerren,By the Law
Lexis,McCrum,"Mountain Men, The"
Corrianne,Buick,Charlie Chan in Shanghai
Sandie,Ferryn,Queen to Play (Joueuse)
Gery,McLachlan,Not Another Teen Movie
Hetty,McCree,"Central Park Five, The"
Layne,Gillice,Paris Is Burning
Gretta,Sabie,Enemy of the State
Shannah,Laming,Mary
Myrtia,Myhan,Radio On
Kirk,Myner,"Man Named Pearl, A"
Cleavland,Reeveley,"Three Lives of Thomasina, The"
Dew,Sawdon,"Keys of the Kingdom, The"
Sorcha,Claisse,"Officer and a Gentleman, An"
Sammy,Kelby,Maid in Manhattan
Vachel,Balazin,"Song Remains the Same, The"
Lou,Zanini,Fahrenheit 9/11
Napoleon,Nappin,Crime Wave
Esme,Baudon,Helen
Leo,Balch,Land of the Blind
Rey,Caird,Rapt
Ericka,Methven,"Score, The"
Gabbie,Pregel,"Last Season, The"
Ingaberg,Dudgeon,Draft Day
Kippar,Boor,Attraction
Consuela,Pigot,Why Man Creates
Maureene,Haycock,"Baxter, The"
Amity,Exley,"Middle of the World, The (O Caminho das Nuvens)"
Andi,Gerbel,"Extraordinary Adventures of Mr. West in the Land of the Bolsheviks, The (Neobychainye priklyucheniya mistera Vesta v strane bolshevikov)"
Harmonia,Lile,Whispering Corridors (Yeogo Goedam)
Jana,Spieck,The Christmas Wish
Merrie,Caizley,Annie
Shepard,Whyte,Benny's Video
Halette,Hritzko,"Nanny Diaries, The"
Charin,Everal,State of Play
Terence,Dysart,Three Ages
Dylan,Blacksell,Torrente 3: El protector
Jaquelyn,Alsford,"Bohemian Life, The (La vie de bohème)"
Alida,Dommersen,"Execution of P, The (Kinatay)"
Fernande,Noades,"Incredible Hulk, The"
Mallissa,Grealish,I'll Be There
Krystle,Klossmann,No Looking Back
Modestia,Poncet,R.S.V.P. 
Farica,Atto,"World, The (Shijie)"
Nomi,Scripps,Hana (Hana yori mo naho)
Carmen,Webling,"Wedding Weekend, The (Sing Now or Forever Hold Your Peace) (Shut Up and Sing)"
Mitchael,Conway,Wise Blood
Glad,Edler,Son of Godzilla (Kaijûtô no kessen: Gojira no musuko)
Louisette,Coneron,Canon
Shelba,Dakers,Terms of Endearment
Onfroi,Goodered,Fanny
Lucian,Banasik,"Callejón de los milagros, El"
Lemmy,Hickeringill,Masquerade
Bernice,Rosentholer,By the Law
Warner,Mawd,"5th Musketeer, The (a.k.a. Fifth Musketeer, The)"
Odella,Beauly,"Temp, The"
Lorettalorna,Nickoll,May
Carmine,Sellens,Chuck Norris vs Communism
Ali,Albutt,Levitated Mass
Glenda,Chaster,Bird
Henka,Hacket,Relax... It's Just Sex
Rockey,Duchant,Samurai Vendetta
Elena,Hussey,L.627
Petunia,Curgenuer,"Devil's Nightmare, The (Plus longue nuit du diable, La)"
Costa,Cable,Tuulikaappimaa
Brina,Applewhite,"Clean, Shaven"
Lazaro,Treherne,711 Ocean Drive
Rubetta,L'Episcopi,"Noah's Arc Principle, The (Arche Noah Prinzip, Das)"
Nollie,McKeachie,B-Side
Catlaina,Coneley,Separation City
Tate,Milland,Me Myself I
Constantine,Massy,Suspicion
Lonee,Brydie,Stormbreaker (Alex Rider: Operation Stormbreaker)
Arlen,Thomerson,Eight Below
Kalina,Ladell,Grouse
Moises,Gosnall,Out of Balance: ExxonMobil's Impact on Climate Change
Dominic,Abramamov,Shut Up and Play the Hits
Simone,Millott,Shadowlands
Hector,Cornell,Bad Dreams
Llywellyn,Shone,Bathory
Beth,Kassman,Flashbacks of a Fool
Dianemarie,Beazer,Katzelmacher
Katherina,Shore,Dr. Seuss' The Lorax
Babbie,Chislett,The House of Intrigue
Elnore,Briffett,Mr. Klein (Monsieur Klein)
Care,Scotchforth,Grand Piano
Travis,Gamlen,Cyberbully
Arnold,Crawford,I Went Down
Phaedra,Paolotto,"Bûche, La"
Louie,Frere,Cashback
Abbott,Drillingcourt,G. I. Blues
Dominique,Finlaison,Mona Lisa
Benjamin,Fellini,"Dawn Patrol, The"
Farlay,Cullum,"Purple Ball, The (Lilovyy shar)"
Eziechiele,Casey,Things to Do in Denver When You're Dead
Saxe,Dumbleton,Heaven Can Wait
Rafa,MacColm,Shadowboxer
Chilton,Lovemore,Riddick
Sophia,Romanetti,Cuba
Effie,Foot,"Patriot, The"
Elicia,Blaasch,Jekyll
Danella,Ollarenshaw,"President's Last Bang, The (Geuddae geusaramdeul)"
Mufi,Kretschmer,Spin
Milka,Dradey,Wives and Lovers
Melamie,Barends,Impure Thoughts
Helenelizabeth,Guidera,Last Dance
Oliver,Pakeman,Another Stakeout
Karly,Massie,Trance
Roseline,Brinson,Alien Trespass
Marcelle,Edney,Zotz!
Violante,Petranek,Ballermann 6
Hew,Bentzen,How to Die in Oregon
Cletus,Sirey,You Only Live Twice
Hannie,Guppey,"Chinoise, La"
Gard,Ashdown,Pushing Hands (Tui shou)
Helge,Speakman,Perfect
Oona,Addinall,"City of Lost Souls, The (Hyôryuu-gai)"
Kacey,Gabbat,California
Hetty,Wooderson,He Was a Quiet Man
Geralda,O'Hdirscoll,Seventh Heaven
Veronika,Powder,Balto
Karola,Holde,Grown Ups 2
Berry,Pinkstone,"Laterna, ftoheia kai garyfallo"
Nancie,Dietz,Ever After: A Cinderella Story
Nydia,Brocklebank,Greed
Colleen,Dear,"Rocking Horse Winner, The"
Claudine,Vassman,Empire State
Harriot,Skillen,"Bone Man, The (Der Knochenmann)"
Joela,Gawthrop,Welcome to Mooseport
Stanley,Hammett,Ghajini
Salomon,Kadar,Something the Lord Made
Bronny,Greenside,Call Girl
Claudetta,O'Feeny,Deuce Bigalow: Male Gigolo
Avrom,McCooke,MacGruber
Clywd,Dackombe,"Turkish Dance, Ella Lola"
Pippo,Fenelon,"Five Senses, The"
Jenn,Rogez,Diana
Andreas,Trussman,"Apprenticeship of Duddy Kravitz, The"
Archy,Sweetland,3 Little Ninjas and the Lost Treasure
Marji,Tamburi,"Football Factory, The"
Forrester,Murcutt,"Snitch Cartel, The (El cartel de los sapos)"
Caresse,Deek,Eureka (Yurîka)
Shawnee,Swaddle,Black or White
Malissia,Ritzman,Repossessed
Packston,Curtayne,Transformers
Nollie,Clooney,Four Minutes (Vier Minuten)
Clarisse,Glowacha,Kitchen in Paris
Iormina,Yabsley,Nicht alle waren Mörder
Michal,Summerson,Summer Heights High
Townsend,Dowry,"Invisible Circus, The"
Livvie,Rummery,"Employment, The (Empleo, El)"
Oswell,Belfitt,Elephant
Francis,Reilly,5th Day of Peace (Dio è con noi)
Aron,Gossage,"Last Shot, The"
Rosalie,Torrent,"Last Godfather, The"
Karlik,Barbie,Alone for Christmas
Leona,Halligan,Sherlock Holmes and the Secret Weapon
Selle,Dykins,Dark Matter
Sebastian,Frane,Lila Says (Lila dit ça)
Harlan,Truitt,In the Edges: The 'Grizzly Man' Session 
Gray,Scatchard,Unfaithfully Yours
Leo,Hubeaux,Something the Lord Made
Sterne,Heinlein,"Model Couple, The (Le couple témoin)"
Madalena,Muddle,Don't Look Back
Eve,Whitmell,Striking Distance
Thatcher,Enderson,Outskirts (Okraina)
Phoebe,Backshell,"Inn in Tokyo, An (Tôkyô no yado)"
Dody,Cheine,"Bridge Too Far, A"
Obadiah,Fetter,Grand Masti
Cathi,Cometti,Heiter bis wolkig
Philbert,Nolli,Penny Serenade
Gloriana,Buckenham,Mother's Day
Leora,Jarvis,Wrecked
Nonnah,Genn,Purple Noon (Plein soleil)
Pietro,Mackinder,Idiot's Delight
Pamelina,Brydone,Bangkok Dangerous
Coleen,Delue,Wanted
Giuditta,Barbrick,Christmas Carol: The Movie
Daniella,MacAlpin,Restless Blood (Levoton veri)
Gaylord,Janssens,Wedding Belles
Scot,Roseveare,"Monitors, The"
Ibrahim,Wehden,Across the Pacific
Issy,Dewane,Nothing Personal
Berget,Deacock,Long Night's Journey Into Day
Yoshi,Gages,"Oh, Heavenly Dog!"
Alonzo,Behnecke,Chasing Papi (a.k.a. Papi Chulo)
Emilio,Nelane,My Dog Tulip
Nicol,Brownstein,"New York, New York"
Eleen,Branton,Blood Alley
Raddy,Meace,"Price Above Rubies, A"
Rand,Colvin,Alien Abduction
Cassandra,McGlynn,"Mayor of Hell, The"
Tessie,Sussans,Asphalt Playground (La cité rose)
Brier,Diamond,Yankee Doodle Dandy
Matias,Smithin,"Whales of August, The"
Allen,Izak,Midnight Lace
Rockwell,Cordeau,Jay and Silent Bob Strike Back
Fairfax,Garrish,"Last Seduction, The"
Viviene,Cowling,Krrish 3
Debee,Mayoral,"Naked Edge, The"
Charlton,Maudlen,Witness for the Prosecution
Bobbette,Kensley,Devil's Playground
Susanna,McGowran,Tavarataivas
Axe,Ruppeli,Mean Girls
Jarrad,Southernwood,America Before Columbus
Ringo,Dumbelton,Friends with Money
Sheri,Sellar,End of Watch
Cinda,Cromett,"Cloud-Capped Star, The (Meghe Dhaka Tara)"
Claudina,Clint,Escape From Tomorrow
Regina,Treffrey,"Man Who Never Was, The"
Caritta,Salkild,Baarìa
Blakeley,Fley,"Fantastic Fear of Everything, A"
Shayne,Morter,"Patriots, The (Patriotes, Les)"
Valentin,Bavin,Let the Good Times Roll
Dareen,Belamy,"Faculty, The"
Kendell,Dawe,Boiling Point
Trisha,Cay,Ferris Bueller's Day Off
Dasha,Hrinchenko,Dry Summer (Susuz yaz) (Reflections)
Gerladina,Louden,Parenthood
Brandtr,Niesel,Prom
Aloin,Pitcaithly,Caligula
Brucie,Van der Son,Revenge
Candy,Potter,Balkan Spy (Balkanski spijun)
Francisco,Branston,Soulless
Tiff,Lingwood,Such Hawks Such Hounds
Bradly,Ebbins,"Hammer, The"
Tiphany,Duckering,Sinners and Saints
Arluene,Matiewe,Strangers with Candy
Coleen,Galtone,La Morte Rouge
Elita,Chang,Police Academy 3: Back in Training
Neille,Geldart,We're Not Dressing
Emiline,Slocom,Isolation
Anthe,Gain,Victim
Jenilee,Tregian,"Deep End of the Ocean, The"
Ailee,Mityushin,"Blood, Sweat + Vinyl: DIY in the 21st Century"
Sydelle,Huffey,Meteor
Karissa,Mc Faul,James Gandolfini: Tribute to a Friend
Eulalie,Matteau,Everybody's Fine
Feodor,Stendell,Three Wishes
Guinna,Wand,Look at Me (Comme une image)
Cy,Whitelaw,Welcome to L.A.
Hugues,Bowton,Mutant Action (Acción Mutante)
Alano,Inker,Two Sons of Francisco (2 Filhos de Francisco - A História de Zezé di Camargo & Luciano)
Sibel,Robelow,Three Men and a Cradle (3 hommes et un couffin)
Krysta,Meletti,"Perfect Candidate, A"
Ardeen,Pavlenkov,Awake
Charlie,Mocker,"Island of Dr. Moreau, The"
Heath,Gyver,"Artist, The"
Katharina,Scothorne,"South, The (Lomalla)"
Vergil,Petracco,Love at the Top
Gilberte,Stannering,Daughter from Danang
Corina,Oxtoby,In the Land of Women
Quill,Bresner,Rosa Luxemburg
Natty,Spencook,Tyler Perry's I Can Do Bad All by Myself
Fanchette,Lackney,"Stepfather, The"
